,test,fname,workload,bpk,Z,ZD,N,fpr_monkey,fpr_binarysearch,fpr_scan,t_monkey,t_binarysearch,t_scan,zeroes,n_file
0,test1,Z0.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,1,0.0,0,1,0.033176699999999996,0.033176699999999996,0.033176699999999996,0.00824189,8.0766e-06,7.43e-06,0.0,39.0
1,test1,Z0.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,2,0.0,0,1,0.0014024,0.0014024,0.0014024,0.00813009,8.249299999999999e-06,7.296799999999999e-06,0.0,39.0
2,test1,Z0.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,3,0.0,0,1,5.92801e-05,5.92801e-05,5.92801e-05,0.00910361,8.1207e-06,7.5082e-06,0.0,39.0
3,test1,Z0.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,4,0.0,0,1,2.5058000000000002e-06,2.5058000000000002e-06,2.5058000000000002e-06,0.00881033,8.1191e-06,7.6654e-06,0.0,39.0
4,test1,Z0.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,5,0.0,0,1,1.05922e-07,1.05922e-07,1.05922e-07,0.00944321,8.1195e-06,7.3279e-06,0.0,39.0
5,test1,Z0.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,6,0.0,0,1,4.4773800000000005e-09,4.4773800000000005e-09,4.4773800000000005e-09,0.00798748,8.2614e-06,7.3709e-06,0.0,39.0
6,test1,Z0.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,7,0.0,0,1,1.89261e-10,1.89261e-10,1.89261e-10,0.00871413,8.0031e-06,7.3041999999999995e-06,0.0,39.0
7,test1,Z0.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,8,0.0,0,1,8.00018e-12,8.00019e-12,8.00018e-12,0.00889175,7.792699999999999e-06,7.1648e-06,0.0,39.0
8,test1,Z0.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,1,0.0,3,1,0.0652317,0.0652317,0.0652317,0.00714797,7.5841e-06,7.106699999999999e-06,0.0,35.0
9,test1,Z0.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,2,0.0,3,1,0.00684171,0.00684171,0.00684171,0.0077006,7.586799999999999e-06,6.8312e-06,0.0,35.0
10,test1,Z0.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,3,0.0,3,1,0.0007175819999999999,0.0007175819999999999,0.0007175819999999999,0.00827848,7.6484e-06,7.0632e-06,0.0,35.0
11,test1,Z0.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,4,0.0,3,1,7.526229999999999e-05,7.526229999999999e-05,7.526229999999999e-05,0.00815731,7.451900000000001e-06,6.79e-06,0.0,35.0
12,test1,Z0.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,5,0.0,3,1,7.893760000000001e-06,7.893760000000001e-06,7.893760000000001e-06,0.00848592,7.986599999999999e-06,7.2855e-06,0.0,35.0
13,test1,Z0.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,6,0.0,3,1,8.27924e-07,8.27924e-07,8.27924e-07,0.00819459,9.4991e-06,8.528e-06,0.0,35.0
14,test1,Z0.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,7,0.0,3,1,8.683539999999999e-08,8.683539999999999e-08,8.683539999999999e-08,0.00861728,7.3893e-06,6.7465e-06,0.0,35.0
15,test1,Z0.0_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,8,0.0,3,1,9.10758e-09,9.10759e-09,9.10758e-09,0.007981499999999999,7.4614e-06,6.8938e-06,0.0,35.0
16,test1,Z0.25_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,1,0.25,0,1,0.263196,0.263196,0.263196,0.0105145,1.27762e-05,1.23259e-05,8.0,39.0
17,test1,Z0.25_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,2,0.25,0,1,0.162774,0.162774,0.162774,0.0133767,1.17196e-05,1.03471e-05,0.0,39.0
18,test1,Z0.25_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,3,0.25,0,1,0.100676,0.100676,0.100676,0.0127549,1.27624e-05,1.02383e-05,0.0,39.0
19,test1,Z0.25_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,4,0.25,0,1,0.0622683,0.0622683,0.0622683,0.015108400000000001,1.15049e-05,1.01967e-05,0.0,39.0
20,test1,Z0.25_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,5,0.25,0,1,0.038513099999999995,0.038513099999999995,0.038513099999999995,0.014498400000000002,1.1209e-05,9.9615e-06,0.0,39.0
21,test1,Z0.25_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,6,0.25,0,1,0.0238205,0.0238205,0.0238205,0.0145775,1.14424e-05,9.9151e-06,0.0,39.0
22,test1,Z0.25_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,7,0.25,0,1,0.014733000000000001,0.014733000000000001,0.014733000000000001,0.014951400000000002,1.0871199999999999e-05,9.8083e-06,0.0,39.0
23,test1,Z0.25_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,8,0.25,0,1,0.00911243,0.00911243,0.00911243,0.015528799999999999,1.1755299999999999e-05,1.04168e-05,0.0,39.0
24,test1,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,1,0.25,3,1,0.25305500000000003,0.25305500000000003,0.25305500000000003,0.0100258,1.4721099999999999e-05,1.57078e-05,25.0,39.0
25,test1,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,2,0.25,3,1,0.153516,0.153516,0.153516,0.0133203,1.32836e-05,1.11181e-05,1.0,39.0
26,test1,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,3,0.25,3,1,0.09494939999999999,0.09494939999999999,0.09494939999999999,0.0138746,1.24605e-05,1.08523e-05,0.0,39.0
27,test1,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,4,0.25,3,1,0.0587265,0.0587265,0.0587265,0.015208600000000001,1.5491400000000002e-05,1.21148e-05,0.0,39.0
28,test1,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,5,0.25,3,1,0.0363225,0.0363225,0.0363225,0.017009,1.3875e-05,1.14982e-05,0.0,39.0
29,test1,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,6,0.25,3,1,0.0224656,0.0224656,0.0224656,0.015658000000000002,1.14758e-05,1.02084e-05,0.0,39.0
30,test1,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,7,0.25,3,1,0.013895,0.013895,0.013895,0.015821,1.13264e-05,9.9565e-06,0.0,39.0
31,test1,Z0.25_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,8,0.25,3,1,0.00859411,0.00859411,0.00859411,0.0156186,1.11807e-05,1.0027e-05,0.0,39.0
32,test1,Z0.5_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,1,0.5,0,1,0.24804299999999999,0.24804299999999999,0.24804299999999999,0.012156700000000001,1.16535e-05,9.914e-06,0.0,40.0
33,test1,Z0.5_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,2,0.5,0,1,0.153415,0.153415,0.153415,0.0134905,1.1942e-05,1.0268699999999999e-05,0.0,40.0
