,test,fname,workload,bpk,Z,ZD,N,fpr_monkey,fpr_binarysearch,fpr_scan,t_monkey,t_binarysearch,t_scan,zeroes,n_file
0,test1,Z0.0_ZD1_query_stats.txt,scale1x,2,0.0,1,1,0.044067199999999994,0.044067199999999994,0.044067199999999994,0.0237225,1.8517e-05,1.4585999999999999e-05,0.0,44.0
1,test1,Z0.0_ZD1_query_stats.txt,scale1x,4,0.0,1,1,0.00553207,0.00553207,0.00553207,0.0205891,1.4744000000000001e-05,1.2909000000000001e-05,0.0,44.0
2,test1,Z0.0_ZD1_query_stats.txt,scale1x,8,0.0,1,1,8.718290000000002e-05,8.718290000000002e-05,8.718290000000002e-05,0.0227938,1.5493e-05,1.4016e-05,0.0,44.0
3,test1,Z0.0_ZD0_query_stats.txt,scale1x,2,0.0,0,1,0.0434148,0.0434148,0.0434148,0.0239894,1.8039e-05,1.3599000000000001e-05,0.0,47.0
4,test1,Z0.0_ZD0_query_stats.txt,scale1x,4,0.0,0,1,0.00555405,0.00555405,0.00555405,0.023625900000000002,1.6377999999999998e-05,1.261e-05,0.0,47.0
5,test1,Z0.0_ZD0_query_stats.txt,scale1x,8,0.0,0,1,9.08979e-05,9.0898e-05,9.08979e-05,0.0252411,1.8505e-05,1.26e-05,0.0,47.0
6,test2,Z0.0_ZD1_query_stats.txt,scale1x,2,0.0,1,1,0.0387581,0.0387581,0.0387581,0.022446,1.9258e-05,1.2789e-05,0.0,46.0
7,test2,Z0.0_ZD1_query_stats.txt,scale1x,4,0.0,1,1,0.00372033,0.00372032,0.00372033,0.0219627,1.6877e-05,1.2610999999999998e-05,0.0,46.0
8,test2,Z0.0_ZD1_query_stats.txt,scale1x,8,0.0,1,1,3.42782e-05,3.42782e-05,3.42782e-05,0.022838,1.5972e-05,1.2095999999999999e-05,0.0,46.0
9,test2,Z0.0_ZD0_query_stats.txt,scale1x,2,0.0,0,1,0.0413474,0.0413474,0.0413474,0.021133799999999998,1.5389e-05,1.3565999999999999e-05,0.0,45.0
10,test2,Z0.0_ZD0_query_stats.txt,scale1x,4,0.0,0,1,0.00448885,0.00448885,0.00448885,0.024214799999999998,1.6178e-05,1.4463e-05,0.0,45.0
11,test2,Z0.0_ZD0_query_stats.txt,scale1x,8,0.0,0,1,5.29065e-05,5.29065e-05,5.29065e-05,0.022490400000000004,1.5907000000000002e-05,1.4342000000000001e-05,0.0,45.0
12,test3,Z0.0_ZD1_query_stats.txt,scale1x,2,0.0,1,1,0.046303500000000004,0.046303500000000004,0.046303500000000004,0.0227103,1.7947e-05,1.2917e-05,0.0,48.0
13,test3,Z0.0_ZD1_query_stats.txt,scale1x,4,0.0,1,1,0.00556802,0.00556802,0.00556802,0.026200099999999997,1.84e-05,1.3293e-05,0.0,48.0
14,test3,Z0.0_ZD1_query_stats.txt,scale1x,8,0.0,1,1,8.05147e-05,8.05147e-05,8.05147e-05,0.0237892,1.6873e-05,1.2497e-05,0.0,48.0
15,test3,Z0.0_ZD0_query_stats.txt,scale1x,2,0.0,0,1,0.042455900000000005,0.042455900000000005,0.042455900000000005,0.0212558,1.4647e-05,1.3347000000000001e-05,0.0,44.0
16,test3,Z0.0_ZD0_query_stats.txt,scale1x,4,0.0,0,1,0.00505409,0.00505409,0.00505409,0.022122299999999998,1.4737e-05,1.3294e-05,0.0,44.0
17,test3,Z0.0_ZD0_query_stats.txt,scale1x,8,0.0,0,1,7.16232e-05,7.16232e-05,7.16232e-05,0.021261099999999998,2.1923000000000003e-05,1.5209000000000001e-05,0.0,44.0
18,test1,Z0.0_ZD1_query_stats.txt,scale2x,2,0.0,1,2,0.00719493,0.00719493,0.00719493,0.11311900000000001,3.819e-05,2.855e-05,0.0,99.0
19,test1,Z0.0_ZD1_query_stats.txt,scale2x,4,0.0,1,2,0.000122071,0.000122071,0.000122071,0.10435699999999999,3.0378000000000003e-05,2.7146e-05,0.0,99.0
20,test1,Z0.0_ZD1_query_stats.txt,scale2x,8,0.0,1,2,3.51382e-08,3.51382e-08,3.51382e-08,0.10941500000000001,3.1936e-05,2.635e-05,0.0,99.0
21,test1,Z0.0_ZD0_query_stats.txt,scale2x,2,0.0,0,2,0.00799026,0.00799026,0.00799026,0.08918039999999999,3.0548e-05,2.6119000000000002e-05,0.0,98.0
